Group num: 0, TC(X;Y_j): 284.094
comp502356_c0_seq1, 0.330
comp174915_c0_seq1, 0.330
comp11147_c1_seq1, 0.329
comp352761_c0_seq1, 0.328
comp741_c0_seq3, 0.327
comp335723_c0_seq1, 0.327
comp8641_c0_seq53, 0.327
comp44214_c3_seq2, 0.326
comp522032_c0_seq1, 0.326
comp441814_c0_seq1, 0.326
comp436515_c0_seq1, 0.325
comp283841_c0_seq1, 0.324
comp459416_c0_seq1, 0.323
comp43087_c3_seq2, 0.323
comp28395_c0_seq1, 0.322
comp3326_c6_seq15, 0.322
comp297101_c0_seq1, 0.320
comp3043_c5_seq2, 0.319
comp396241_c0_seq1, 0.319
comp267704_c0_seq1, 0.319
comp468594_c0_seq1, 0.318
comp315123_c0_seq1, 0.318
comp193422_c0_seq1, 0.318
comp489245_c0_seq1, 0.318
comp143841_c0_seq1, 0.318
comp6062_c9_seq2, 0.317
comp116333_c0_seq1, 0.317
comp79838_c0_seq3, 0.317
comp4468_c2_seq2, 0.317
comp193825_c0_seq1, 0.317
comp242027_c0_seq1, 0.316
comp419681_c0_seq1, 0.315
comp196706_c0_seq1, 0.315
comp131510_c1_seq1, 0.315
comp510983_c0_seq1, 0.315
comp113865_c0_seq1, 0.315
comp78931_c1_seq2, 0.315
comp433541_c0_seq1, 0.315
comp156237_c0_seq1, 0.315
comp26311_c0_seq2, 0.314
comp408445_c0_seq1, 0.314
comp223115_c0_seq1, 0.313
comp153329_c0_seq1, 0.313
comp192075_c0_seq1, 0.313
comp499725_c0_seq1, 0.313
comp95233_c0_seq1, 0.313
comp222289_c0_seq1, 0.312
comp137496_c0_seq2, 0.312
comp338335_c0_seq1, 0.312
comp392280_c0_seq1, 0.312
comp379287_c0_seq1, 0.311
comp203840_c0_seq1, 0.311
comp533258_c0_seq1, 0.311
comp527327_c0_seq1, 0.311
comp399791_c0_seq1, 0.311
comp499177_c0_seq1, 0.310
comp109032_c0_seq1, 0.310
comp519372_c0_seq1, 0.310
comp369212_c0_seq2, 0.310
comp42794_c0_seq7, 0.310
comp403073_c0_seq2, 0.310
comp444677_c0_seq1, 0.310
comp192010_c0_seq1, 0.309
comp303480_c0_seq1, 0.309
comp524046_c0_seq1, 0.309
comp30868_c2_seq8, 0.309
comp564_c14_seq21, 0.309
comp495351_c0_seq1, 0.309
comp418400_c0_seq1, 0.309
comp337594_c0_seq1, 0.309
comp215101_c0_seq1, 0.309
comp182716_c0_seq1, 0.309
comp306276_c0_seq1, 0.309
comp347471_c0_seq1, 0.308
comp533472_c0_seq1, 0.308
comp365080_c0_seq1, 0.308
comp13748_c7_seq1, 0.308
comp162_c29_seq2, 0.308
comp92416_c0_seq4, 0.308
comp65391_c2_seq2, 0.308
comp532507_c0_seq1, 0.308
comp1603_c15_seq22, 0.307
comp10276_c7_seq1, 0.307
comp54157_c0_seq1, 0.307
comp429426_c0_seq1, 0.307
comp455134_c0_seq1, 0.307
comp9997_c0_seq1, 0.306
comp436709_c0_seq1, 0.306
comp149131_c0_seq3, 0.306
comp173475_c0_seq1, 0.306
comp513997_c0_seq1, 0.306
comp351520_c0_seq1, 0.306
comp379133_c0_seq1, 0.306
comp295170_c0_seq1, 0.305
comp532858_c0_seq1, 0.305
comp508425_c0_seq1, 0.305
comp157944_c0_seq1, 0.305
comp447655_c0_seq2, 0.305
comp482565_c0_seq1, 0.305
